Boro-Block-Lot,Address,Neighborhood,Building Classification,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Estimated Expense,Net Operating Income,Full Market Value,Report Year,Boro,BORO_NM
1-00007-7501,1 COENTIES SLIP,FINANCIAL,R9-CONDOMINIUM,42,1920.0,36500,1216180,293460.0,922720,7156000.0,2012,1,MANHATTAN
1-00008-7501,39 WHITEHALL STREET,FINANCIAL,R4-CONDOMINIUM,78,1985.0,126420,6823366,1638934.0,5184432,39143000.0,2012,1,MANHATTAN
1-00015-7502,20 WEST STREET,FINANCIAL,R4-CONDOMINIUM,282,1930.0,249076,8946810,2744818.0,6201992,46825007.0,2012,1,MANHATTAN
1-00016-7501,377 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,239,1985.0,219495,7072129,1169908.0,5902221,44562006.0,2012,1,MANHATTAN
1-00016-7502,320 ALBANY STREET,TRIBECA,R4-CONDOMINIUM,133,1986.0,139719,5859815,1664053.0,4195762,31677997.0,2012,1,MANHATTAN
1-00016-7503,250 SOUTH END AVENUE,TRIBECA,R4-CONDOMINIUM,109,1985.0,105000,4471950,1131900.0,3340050,19435362.0,2012,1,MANHATTAN
1-00016-7504,300 ALBANY STREET,TRIBECA,R4-CONDOMINIUM,107,1986.0,87479,3668869,1041875.0,2626994,19833999.0,2012,1,MANHATTAN
1-00016-7505,380 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,247,1987.0,255845,9801422,2499606.0,7301816,55129007.0,2012,1,MANHATTAN
1-00016-7506,280 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,121,1985.0,106129,4451050,1263996.0,3187054,24062007.0,2012,1,MANHATTAN
1-00016-7507,300 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,154,1986.0,126008,5284776,1500755.0,3784021,28569001.0,2012,1,MANHATTAN
1-00016-7508,200 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,546,1987.0,586224,20136794,5229118.0,14907676,112553026.0,2012,1,MANHATTAN
1-00016-7509,21 SOUTH END AVENUE,TRIBECA,R4-CONDOMINIUM,182,1988.0,208281,8122959,2239021.0,5883938,44424000.0,2012,1,MANHATTAN
1-00016-7510,99 BATTERY PLACE,TRIBECA,R4-CONDOMINIUM,293,1988.0,341489,14014709,4166166.0,9848543,74356990.0,2012,1,MANHATTAN
1-00016-7511,2 SOUTH END AVENUE,TRIBECA,R4-CONDOMINIUM,163,1990.0,156260,6347281,1521972.0,4825309,36430997.0,2012,1,MANHATTAN
1-00016-7513,25 BATTERY PLACE,TRIBECA,R4-CONDOMINIUM,117,2003.0,267723,11798553,3185904.0,8612649,65025999.0,2012,1,MANHATTAN
1-00016-7514,30 WEST STREET,TRIBECA,R4-CONDOMINIUM,234,2006.0,431824,16582042,4478015.0,12104027,91386007.0,2012,1,MANHATTAN
1-00016-7515,225 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,304,1985.0,257848,11363361,3068391.0,8294970,62626989.0,2012,1,MANHATTAN
1-00016-7516,1 RIVER TERRACE,TRIBECA,R4-CONDOMINIUM,256,2006.0,434398,18548795,5056393.0,13492402,101868002.0,2012,1,MANHATTAN
1-00016-7517,70 BATTERY PLACE,TRIBECA,R4-CONDOMINIUM,249,2006.0,438177,16825997,4543895.0,12282102,92729993.0,2012,1,MANHATTAN
1-00016-7518,333 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,174,1985.0,237725,9447192,2688670.0,6758522,51026997.0,2012,1,MANHATTAN
1-00017-7502,33 RECTOR STREET,FINANCIAL,R4-CONDOMINIUM,13,1920.0,37236,1510665,252088.0,1258577,9502001.0,2012,1,MANHATTAN
1-00018-7501,13 RECTOR STREET,FINANCIAL,R4-CONDOMINIUM,452,1956.0,316810,13787571,4467021.0,9320550,70370007.0,2012,1,MANHATTAN
1-00024-7501,40 BROAD STREET,FINANCIAL,R4-CONDOMINIUM,162,1982.0,231300,9462483,1804140.0,7658343,57820986.0,2012,1,MANHATTAN
1-00025-7501,15 WILLIAM STREET,FINANCIAL,R4-CONDOMINIUM,320,2005.0,477747,19606737,5828513.0,13778224,104026043.0,2012,1,MANHATTAN
1-00026-7501,15 BROAD STREET,FINANCIAL,R4-CONDOMINIUM,382,1914.0,648926,28721465,6995422.0,21726043,164031994.0,2012,1,MANHATTAN
1-00027-7501,55 WALL STREET,FINANCIAL,R4-CONDOMINIUM,107,1836.0,159544,7039081,1987918.0,5051163,38135998.0,2012,1,MANHATTAN
1-00027-7502,20 EXCHANGE PLACE,FINANCIAL,RR-CONDOMINIUM,350,1929.0,346789,13890120,3648220.0,10241900,80272000.0,2012,1,MANHATTAN
1-00028-7501,82 BEAVER STREET,FINANCIAL,R4-CONDOMINIUM,126,1987.0,96902,3431300,1110497.0,2320803,17522000.0,2012,1,MANHATTAN
1-00029-7501,48 BEAVER STREET,FINANCIAL,R9-CONDOMINIUM,40,1920.0,65396,1528305,529708.0,998597,7230300.0,2012,1,MANHATTAN
1-00029-7503,21 SOUTH WILLIAM STREET,FINANCIAL,R4-CONDOMINIUM,31,1900.0,20308,733322,205517.0,527805,3985002.0,2012,1,MANHATTAN
1-00031-7501,75 WALL STREET,FINANCIAL,R4-CONDOMINIUM,347,1987.0,422833,15940804,4287527.0,11653277,87981999.0,2012,1,MANHATTAN
1-00039-7501,164 PEARL STREET,FINANCIAL,R4-CONDOMINIUM,121,1956.0,109468,4627212,1242462.0,3384750,25555006.0,2012,1,MANHATTAN
1-00041-7501,50 PINE STREET,FINANCIAL,R4-CONDOMINIUM,20,1902.0,39607,1365253,271704.0,1093549,8256000.0,2012,1,MANHATTAN
1-00041-7503,56 PINE STREET,FINANCIAL,R4-CONDOMINIUM,90,1893.0,73507,2546282,640981.0,1905301,14384997.0,2012,1,MANHATTAN
1-00044-7501,18 PINE STREET,FINANCIAL,R4-CONDOMINIUM,408,1928.0,548976,25466997,7125708.0,18341289,138477008.0,2012,1,MANHATTAN
1-00052-7501,112 LIBERTY STREET,FINANCIAL,RR-CONDOMINIUM,13,1900.0,21069,592882,204791.0,388091,2062500.0,2012,1,MANHATTAN
1-00052-7502,114 LIBERTY STREET,FINANCIAL,R4-CONDOMINIUM,12,1913.0,65992,1589747,465904.0,1123843,7670350.0,2012,1,MANHATTAN
1-00053-7501,120 GREENWICH STREET,FINANCIAL,R4-CONDOMINIUM,102,1903.0,71985,3019051,857341.0,2161710,16321001.0,2012,1,MANHATTAN
1-00053-7502,123 WASHINGTON STREET,FINANCIAL,R4-CONDOMINIUM,160,2007.0,215467,5927497,1443629.0,4483868,30737262.0,2012,1,MANHATTAN
1-00065-7501,65 NASSAU STREET,FINANCIAL,R9-CONDOMINIUM,29,1920.0,28550,984119,195853.0,788266,6125000.0,2012,1,MANHATTAN
1-00068-7501,80 JOHN STREET,FINANCIAL,R4-CONDOMINIUM,145,1927.0,186512,7016581,2215763.0,4800818,36245999.0,2012,1,MANHATTAN
1-00068-7502,90 WILLIAM STREET,FINANCIAL,R4-CONDOMINIUM,113,1967.0,112213,4779152,1209656.0,3569496,26950012.0,2012,1,MANHATTAN
1-00069-7502,90 JOHN STREET,FINANCIAL,RR-CONDOMINIUM,221,1931.0,214364,5897154,1436239.0,4460915,34461000.0,2012,1,MANHATTAN
1-00072-7501,170 JOHN STREET,FINANCIAL,R4-CONDOMINIUM,14,1982.0,24362,936475,281381.0,655094,4946000.0,2012,1,MANHATTAN
1-00076-7502,99 JOHN STREET,FINANCIAL,R4-CONDOMINIUM,441,2003.0,348157,14288363,4247515.0,10040848,75808993.0,2012,1,MANHATTAN
1-00078-7503,80 NASSAU STREET,FINANCIAL,R9-CONDOMINIUM,11,1900.0,31738,1026724,239622.0,787102,6089000.0,2012,1,MANHATTAN
1-00078-7505,39 JOHN STREET,FINANCIAL,R9-CONDOMINIUM,14,1930.0,17122,818134,124135.0,693999,5450000.0,2012,1,MANHATTAN
1-00078-7506,102 FULTON STREET,FINANCIAL,R4-CONDOMINIUM,14,1910.0,22613,708013,187462.0,520551,3930000.0,2012,1,MANHATTAN
1-00078-7507,111 WILLIAM STREET,FINANCIAL,R4-CONDOMINIUM,73,1909.0,89994,3480968,1052030.0,2428938,18338995.0,2012,1,MANHATTAN
1-00078-7510,110 FULTON STREET,FINANCIAL,R4-CONDOMINIUM,29,1929.0,24500,792575,184975.0,607600,3457500.0,2012,1,MANHATTAN
1-00079-7502,130 FULTON STREET,FINANCIAL,R4-CONDOMINIUM,21,1900.0,66930,2318455,583630.0,1734825,13097998.0,2012,1,MANHATTAN
1-00079-7503,71 NASSAU STREET,FINANCIAL,R4-CONDOMINIUM,67,1906.0,66575,2357421,762950.0,1594471,12037994.0,2012,1,MANHATTAN
1-00090-7501,15 PARK ROW,SOUTHBRIDGE,R4-CONDOMINIUM,210,1896.0,196837,6157061,1970338.0,4186723,31610000.0,2012,1,MANHATTAN
1-00090-7502,105 NASSAU STREET,SOUTHBRIDGE,R4-CONDOMINIUM,9,1923.0,20883,671806,192332.0,479474,3619999.0,2012,1,MANHATTAN
1-00091-7501,119 FULTON STREET,SOUTHBRIDGE,R4-CONDOMINIUM,19,1919.0,26528,808043,214081.0,593962,3962002.0,2012,1,MANHATTAN
1-00091-7502,111 FULTON STREET,SOUTHBRIDGE,R4-CONDOMINIUM,163,1940.0,191740,5999545,1777430.0,4222115,31876999.0,2012,1,MANHATTAN
1-00095-7501,117 BEEKMAN STREET,SOUTHBRIDGE,R4-CONDOMINIUM,22,1983.0,37170,1195759,342336.0,853423,6443000.0,2012,1,MANHATTAN
1-00097-7502,130 BEEKMAN STREET,SOUTHBRIDGE,R4-CONDOMINIUM,18,1900.0,23044,769209,261549.0,507660,3801602.0,2012,1,MANHATTAN
1-00097-7503,220 FRONT STREET,SOUTHBRIDGE,R4-CONDOMINIUM,15,1910.0,25825,830790,237848.0,592942,4477000.0,2012,1,MANHATTAN
1-00097-7504,214 FRONT STREET,SOUTHBRIDGE,R4-CONDOMINIUM,15,1999.0,20091,748591,216983.0,531608,4014000.0,2012,1,MANHATTAN
1-00100-7501,150 NASSAU STREET,SOUTHBRIDGE,R4-CONDOMINIUM,125,1900.0,168889,5284537,1565601.0,3718936,28077999.0,2012,1,MANHATTAN
1-00100-7502,8 SPRUCE STREET,SOUTHBRIDGE,RR-CONDOMINIUM,904,2007.0,900526,26277349,8933218.0,17344131,132844000.0,2012,1,MANHATTAN
1-00106-7502,324 PEARL STREET,SOUTHBRIDGE,R4-CONDOMINIUM,49,1900.0,37646,1059358,365919.0,693439,5235000.0,2012,1,MANHATTAN
1-00132-7501,295 GREENWICH STREET,TRIBECA,R4-CONDOMINIUM,128,1987.0,115909,4239951,1168363.0,3071588,23191006.0,2012,1,MANHATTAN
1-00132-7501,275 GREENWICH STREET,TRIBECA,R4-CONDOMINIUM,133,1987.0,138016,5130055,1530597.0,3599458,27175997.0,2012,1,MANHATTAN
1-00132-7503,71 MURRAY STREET,TRIBECA,R4-CONDOMINIUM,11,2001.0,54500,2453590,741200.0,1712390,12929000.0,2012,1,MANHATTAN
1-00133-7504,37 MURRAY STREET,CIVIC CENTER,R4-CONDOMINIUM,8,1969.0,17000,506430,176460.0,329970,2214293.0,2012,1,MANHATTAN
1-00133-7506,49 WARREN STREET,CIVIC CENTER,R4-CONDOMINIUM,10,1900.0,22964,738293,214024.0,524269,3958001.0,2012,1,MANHATTAN
1-00134-7503,9 MURRAY STREET,CIVIC CENTER,R4-CONDOMINIUM,27,1900.0,59853,1546003,587158.0,958845,7239001.0,2012,1,MANHATTAN
1-00134-7505,25 MURRAY STREET,CIVIC CENTER,R4-CONDOMINIUM,75,1930.0,118046,5444282,1564110.0,3880172,29295005.0,2012,1,MANHATTAN
1-00135-7501,261 BROADWAY,CIVIC CENTER,R9-CONDOMINIUM,65,1906.0,101974,3647610,1297109.0,2350501,18312000.0,2012,1,MANHATTAN
1-00135-7503,8 WARREN STREET,CIVIC CENTER,R4-CONDOMINIUM,14,1860.0,32039,1235424,286749.0,948675,7163001.0,2012,1,MANHATTAN
1-00135-7504,270 BROADWAY,CIVIC CENTER,R4-CONDOMINIUM,87,1910.0,217318,5834988,1623365.0,4211623,31798002.0,2012,1,MANHATTAN
1-00136-7502,38 WARREN STREET,CIVIC CENTER,R4-CONDOMINIUM,26,1900.0,50165,1613808,462020.0,1151788,8695999.0,2012,1,MANHATTAN
1-00136-7505,85 WEST BROADWAY,CIVIC CENTER,R4-CONDOMINIUM,15,2007.0,15060,582822,168973.0,413849,3125003.0,2012,1,MANHATTAN
1-00137-7503,92 WARREN STREET,TRIBECA,R4-CONDOMINIUM,12,1920.0,30062,1026317,290700.0,735617,5553998.0,2012,1,MANHATTAN
1-00140-7501,165 CHAMBERS STREET,TRIBECA,R4-CONDOMINIUM,83,1987.0,89377,4175693,1127044.0,3048649,23017003.0,2012,1,MANHATTAN
1-00140-7502,311 GREENWICH STREET,TRIBECA,R4-CONDOMINIUM,80,1988.0,66551,2728591,541725.0,2186866,16510998.0,2012,1,MANHATTAN
1-00140-7503,137 READE STREET,TRIBECA,R4-CONDOMINIUM,10,1930.0,28000,900760,257880.0,642880,4854003.0,2012,1,MANHATTAN
1-00140-7505,157 CHAMBERS STREET,TRIBECA,R4-CONDOMINIUM,38,1931.0,87334,3153631,883820.0,2269811,17137001.0,2012,1,MANHATTAN
1-00141-7502,184 DUANE STREET,TRIBECA,R4-CONDOMINIUM,1,1915.0,2660,93366,30989.0,62377,471000.0,2012,1,MANHATTAN
1-00141-7504,166 DUANE STREET,TRIBECA,R4-CONDOMINIUM,30,1910.0,92487,3274965,1059901.0,2215064,16724000.0,2012,1,MANHATTAN
1-00142-7501,99 WARREN STREET,TRIBECA,RR-CONDOMINIUM,163,2006.0,182235,6165010,1230086.0,4934924,38312000.0,2012,1,MANHATTAN
1-00142-7501,99 WARREN STREET,TRIBECA,R4-CONDOMINIUM,220,2006.0,535060,25468856,6682899.0,18785957,141833999.0,2012,1,MANHATTAN
1-00142-7502,200 CHAMBERS STREET,TRIBECA,R4-CONDOMINIUM,311,2005.0,314373,13958161,3964244.0,9993917,75454001.0,2012,1,MANHATTAN
1-00143-7501,8 JAY STREET,TRIBECA,R9-CONDOMINIUM,13,1915.0,19882,521505,204387.0,317118,2400000.0,2012,1,MANHATTAN
1-00143-7502,177 DUANE STREET,TRIBECA,R9-CONDOMINIUM,11,1920.0,15500,649915,191270.0,458645,3599000.0,2012,1,MANHATTAN
1-00144-7502,36 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,12,1910.0,27928,953462,270064.0,683398,5033605.0,2012,1,MANHATTAN
1-00145-7501,105 CHAMBERS STREET,CIVIC CENTER,R4-CONDOMINIUM,2,1915.0,12688,473009,137538.0,335471,2533000.0,2012,1,MANHATTAN
1-00145-7504,97 READE STREET,CIVIC CENTER,R4-CONDOMINIUM,20,1920.0,24992,815489,228927.0,586562,4428998.0,2012,1,MANHATTAN
1-00146-7501,96 READE STREET,CIVIC CENTER,R4-CONDOMINIUM,21,1895.0,32300,1102722,312341.0,790381,5966998.0,2012,1,MANHATTAN
1-00146-7502,150 DUANE STREET,CIVIC CENTER,R9-CONDOMINIUM,13,1915.0,20500,669325,160515.0,508810,3939000.0,2012,1,MANHATTAN
1-00146-7503,104 READE STREET,CIVIC CENTER,R4-CONDOMINIUM,9,1920.0,20325,663611,159145.0,504466,3809000.0,2012,1,MANHATTAN
1-00147-7508,52 THOMAS STREET,CIVIC CENTER,R4-CONDOMINIUM,20,1915.0,35900,1225626,353256.0,872370,6586003.0,2012,1,MANHATTAN
1-00147-7509,137 DUANE STREET,CIVIC CENTER,R4-CONDOMINIUM,19,1915.0,45510,1464057,419147.0,1044910,7888999.0,2012,1,MANHATTAN
1-00150-7501,70 READE STREET,CIVIC CENTER,R4-CONDOMINIUM,8,1915.0,26658,857588,245520.0,612068,4071102.0,2012,1,MANHATTAN
1-00171-7501,356 BROADWAY,CHINATOWN,R4-CONDOMINIUM,18,1915.0,20000,643400,184200.0,459200,3110001.0,2012,1,MANHATTAN
1-00171-7502,354 BROADWAY,CHINATOWN,R4-CONDOMINIUM,12,1900.0,41204,1392283,426049.0,966234,7295000.0,2012,1,MANHATTAN
1-00172-7501,374 BROADWAY,CHINATOWN,R4-CONDOMINIUM,163,1990.0,126500,4094805,1392765.0,2702040,19619620.0,2012,1,MANHATTAN
1-00172-7502,81 WHITE STREET,CHINATOWN,R4-CONDOMINIUM,11,1915.0,28500,916845,262485.0,654360,4939998.0,2012,1,MANHATTAN
1-00172-7504,50 FRANKLIN STREET,CHINATOWN,R4-CONDOMINIUM,72,2007.0,91412,3863985,1037526.0,2826459,21339990.0,2012,1,MANHATTAN
1-00173-7501,66 LEONARD STREET,CIVIC CENTER,R4-CONDOMINIUM,47,1900.0,132423,4849330,1402360.0,3446970,26025002.0,2012,1,MANHATTAN
1-00173-7502,65 WORTH STREET,CIVIC CENTER,R4-CONDOMINIUM,30,1920.0,89678,2884941,825934.0,2059007,15546000.0,2012,1,MANHATTAN
1-00173-7503,79 WORTH STREET,CIVIC CENTER,R4-CONDOMINIUM,29,1920.0,56292,1810914,518449.0,1292465,9758001.0,2012,1,MANHATTAN
1-00175-7503,55 WHITE STREET,CIVIC CENTER,R4-CONDOMINIUM,17,1860.0,32939,1058330,310285.0,748045,5647998.0,2012,1,MANHATTAN
1-00175-7504,90 FRANKLIN STREET,CIVIC CENTER,R4-CONDOMINIUM,24,1915.0,98891,3570954,1000777.0,2570177,19405003.0,2012,1,MANHATTAN
1-00178-7502,211 WEST BROADWAY,CIVIC CENTER,R2-CONDOMINIUM,11,1915.0,24985,691085,291825.0,399260,3013999.0,2012,1,MANHATTAN
1-00179-7503,155 FRANKLIN STREET,TRIBECA,R4-CONDOMINIUM,10,1982.0,33633,999573,340030.0,659543,4979999.0,2012,1,MANHATTAN
1-00179-7506,14 LEONARD STREET,TRIBECA,R4-CONDOMINIUM,31,1915.0,88615,3137857,1015528.0,2122329,15951005.0,2012,1,MANHATTAN
1-00180-7502,67 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,20,1915.0,20750,671263,156663.0,514600,3885001.0,2012,1,MANHATTAN
1-00180-7507,345 GREENWICH STREET,TRIBECA,R4-CONDOMINIUM,10,1921.0,23287,601736,235664.0,366072,2764001.0,2012,1,MANHATTAN
1-00181-7501,355 GREENWICH STREET,TRIBECA,R2-CONDOMINIUM,10,1983.0,10962,348263,141739.0,206524,1559000.0,2012,1,MANHATTAN
1-00181-7502,363 GREENWICH STREET,TRIBECA,R4-CONDOMINIUM,9,1915.0,17788,620445,186062.0,434383,3151489.0,2012,1,MANHATTAN
1-00188-7501,65 NORTH MOORE STREET,TRIBECA,R4-CONDOMINIUM,8,1915.0,12690,368645,134514.0,234131,1768000.0,2012,1,MANHATTAN
1-00188-7502,387 GREENWICH STREET,TRIBECA,R4-CONDOMINIUM,36,1915.0,86451,3061230,990728.0,2070502,15632002.0,2012,1,MANHATTAN
1-00188-7503,53 NORTH MOORE STREET,TRIBECA,R4-CONDOMINIUM,46,1910.0,83020,2939738,951409.0,1988329,15012004.0,2012,1,MANHATTAN
1-00188-7505,48 BEACH STREET,TRIBECA,R4-CONDOMINIUM,25,1930.0,94532,2724412,1041743.0,1682669,12704005.0,2012,1,MANHATTAN
1-00189-7501,220 WEST BROADWAY,TRIBECA,R9-CONDOMINIUM,24,1915.0,52735,1571503,381801.0,1189702,8154000.0,2012,1,MANHATTAN
1-00189-7502,104 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,14,1921.0,40581,1209314,293806.0,915508,6911998.0,2012,1,MANHATTAN
1-00189-7507,132 FRANKLIN STREET,TRIBECA,R4-CONDOMINIUM,13,1915.0,53468,1304619,334710.0,969909,7264999.0,2012,1,MANHATTAN
1-00189-7508,38 NORTH MOORE STREET,TRIBECA,R9-CONDOMINIUM,11,1915.0,18315,585897,199267.0,386630,2988000.0,2012,1,MANHATTAN
1-00190-7501,39 NORTH MOORE STREET,TRIBECA,R4-CONDOMINIUM,10,1909.0,24407,723423,246023.0,477400,3603999.0,2012,1,MANHATTAN
1-00190-7503,31 NORTH MOORE STREET,TRIBECA,R4-CONDOMINIUM,23,1915.0,86900,2812953,956769.0,1856184,14014001.0,2012,1,MANHATTAN
1-00190-7504,27 NORTH MOORE STREET,TRIBECA,R4-CONDOMINIUM,57,1905.0,150010,5482866,1755117.0,3727749,28145005.0,2012,1,MANHATTAN
1-00190-7505,25 NORTH MOORE STREET,TRIBECA,R4-CONDOMINIUM,33,1924.0,119996,4333056,1214360.0,3118696,23546000.0,2012,1,MANHATTAN
1-00190-7506,124 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,26,2000.0,68033,2456672,688494.0,1768178,13349997.0,2012,1,MANHATTAN
1-00193-7501,395 BROADWAY,TRIBECA,R4-CONDOMINIUM,64,1915.0,119640,3743536,1109063.0,2634473,19890006.0,2012,1,MANHATTAN
1-00193-7505,37 WALKER STREET,TRIBECA,R2-CONDOMINIUM,2,1875.0,4169,115023,38813.0,76210,543400.0,2012,1,MANHATTAN
1-00193-7509,51 WALKER STREET,TRIBECA,R4-CONDOMINIUM,15,2005.0,34587,1248937,356246.0,892691,6740003.0,2012,1,MANHATTAN
1-00202-7501,50 BAYARD STREET,CHINATOWN,R4-CONDOMINIUM,167,1985.0,163160,5449544,1711548.0,3737996,28222013.0,2012,1,MANHATTAN
1-00204-7501,158 HESTER STREET,CHINATOWN,R4-CONDOMINIUM,61,2004.0,60962,2200728,638272.0,1562456,11796998.0,2012,1,MANHATTAN
1-00206-7501,123 BAXTER STREET,CHINATOWN,R4-CONDOMINIUM,23,2003.0,46545,1680275,487326.0,1192949,9006997.0,2012,1,MANHATTAN
1-00208-7501,129 LAFAYETTE STREET,CHINATOWN,R4-CONDOMINIUM,27,1900.0,70649,2272778,650677.0,1622101,12247003.0,2012,1,MANHATTAN
1-00211-7501,7 LISPENARD STREET,TRIBECA,R4-CONDOMINIUM,9,1915.0,16028,414164,162203.0,251961,1901999.0,2012,1,MANHATTAN
1-00212-7501,260 WEST BROADWAY,TRIBECA,R4-CONDOMINIUM,50,1915.0,122640,3837406,1136873.0,2700533,20388992.0,2012,1,MANHATTAN
1-00212-7503,1 YORK STREET,TRIBECA,R4-CONDOMINIUM,34,1890.0,67451,2010040,488345.0,1521695,11488999.0,2012,1,MANHATTAN
1-00214-7502,145 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,10,1929.0,46250,1487863,425963.0,1061900,8017002.0,2012,1,MANHATTAN
1-00214-7503,7 HUBERT STREET,TRIBECA,R4-CONDOMINIUM,35,2004.0,138798,4515099,1444887.0,3070212,23180001.0,2012,1,MANHATTAN
1-00215-7502,161 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,24,1930.0,66444,1980031,481055.0,1498976,11316999.0,2012,1,MANHATTAN
1-00215-7504,415 GREENWICH STREET,TRIBECA,R4-CONDOMINIUM,66,1913.0,155221,5673328,1816086.0,3857242,29122003.0,2012,1,MANHATTAN
1-00215-7505,157 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,15,1920.0,58213,1734747,421462.0,1313285,9915000.0,2012,1,MANHATTAN
1-00217-7501,79 LAIGHT STREET,TRIBECA,R4-CONDOMINIUM,33,1853.0,100894,2205543,904010.0,1301533,9566998.0,2012,1,MANHATTAN
1-00217-7502,408 GREENWICH STREET,TRIBECA,R4-CONDOMINIUM,4,2007.0,17185,737580,186973.0,550607,4157001.0,2012,1,MANHATTAN
1-00218-7501,92 LAIGHT STREET,TRIBECA,R4-CONDOMINIUM,65,2004.0,163128,6358729,1606811.0,4751918,35877000.0,2012,1,MANHATTAN
1-00218-7504,415 WASHINGTON STREET,TRIBECA,R4-CONDOMINIUM,21,2010.0,55649,2333363,691717.0,1641646,12870999.0,2012,1,MANHATTAN
1-00219-7501,429 GREENWICH STREET,TRIBECA,R4-CONDOMINIUM,28,1920.0,88897,2169087,556495.0,1612592,12079000.0,2012,1,MANHATTAN
1-00219-7502,39 VESTRY STREET,TRIBECA,R4-CONDOMINIUM,16,1930.0,37785,986944,253915.0,733029,5534003.0,2012,1,MANHATTAN
1-00219-7503,35 VESTRY STREET,TRIBECA,R4-CONDOMINIUM,6,1915.0,16400,592204,165968.0,426236,3218000.0,2012,1,MANHATTAN
1-00219-7504,169 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,12,1915.0,51647,1260187,323310.0,936877,7017999.0,2012,1,MANHATTAN
1-00220-7502,28 LAIGHT STREET,TRIBECA,R4-CONDOMINIUM,31,1920.0,94924,3361259,1087829.0,2273430,17163997.0,2012,1,MANHATTAN
1-00220-7503,38 LAIGHT STREET,TRIBECA,R4-CONDOMINIUM,33,1900.0,73257,1787471,458589.0,1328882,9954001.0,2012,1,MANHATTAN
1-00222-7501,28 VESTRY STREET,TRIBECA,R4-CONDOMINIUM,20,1962.0,36435,1095236,245208.0,850028,6417997.0,2012,1,MANHATTAN
1-00222-7502,195 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,27,1920.0,88496,2864616,974341.0,1890275,14272004.0,2012,1,MANHATTAN
1-00225-7501,465 GREENWICH STREET,TRIBECA,R9-CONDOMINIUM,38,1910.0,73919,1950722,741408.0,1209314,9159000.0,2012,1,MANHATTAN
1-00225-7502,16 DESBROSSES STREET,TRIBECA,R4-CONDOMINIUM,8,1940.0,24059,785526,188382.0,597144,4389003.0,2012,1,MANHATTAN
1-00228-7501,3 WOOSTER STREET,SOHO,R4-CONDOMINIUM,11,2003.0,25300,913330,264891.0,648439,4895999.0,2012,1,MANHATTAN
1-00228-7502,311 WEST BROADWAY,SOHO,R4-CONDOMINIUM,67,2007.0,146294,5942462,1424904.0,4517558,34108000.0,2012,1,MANHATTAN
1-00230-7503,20 GREENE STREET,SOHO,R4-CONDOMINIUM,10,1915.0,30331,975748,279349.0,696399,5257998.0,2012,1,MANHATTAN
1-00230-7506,25 MERCER STREET,SOHO,R4-CONDOMINIUM,10,1920.0,17632,564048,191836.0,372212,2602600.0,2012,1,MANHATTAN
1-00231-7501,443 BROADWAY,SOHO,R4-CONDOMINIUM,16,1910.0,44653,1436487,411254.0,1025233,6267812.0,2012,1,MANHATTAN
1-00234-7501,161 GRAND STREET,CHINATOWN,R4-CONDOMINIUM,18,1911.0,45148,1630294,456898.0,1173396,8859000.0,2012,1,MANHATTAN
1-00235-7501,136 BAXTER STREET,CHINATOWN,R4-CONDOMINIUM,12,1915.0,28370,1024441,287104.0,737337,5567001.0,2012,1,MANHATTAN
1-00236-7501,173 GRAND STREET,CHINATOWN,R4-CONDOMINIUM,39,1990.0,25786,829536,265338.0,564198,4260000.0,2012,1,MANHATTAN
1-00236-7502,145 MULBERRY STREET,CHINATOWN,RR-CONDOMINIUM,25,1915.0,26907,996904,230055.0,766849,5547000.0,2012,1,MANHATTAN
1-00238-7503,87 ELIZABETH STREET,CHINATOWN,R4-CONDOMINIUM,18,1899.0,14777,449516,157818.0,291698,2201998.0,2012,1,MANHATTAN
1-00239-7501,80 ELIZABETH STREET,CHINATOWN,R4-CONDOMINIUM,80,1929.0,85956,1878998,770166.0,1108832,8149995.0,2012,1,MANHATTAN
1-00273-7501,142 HENRY STREET,LOWER EAST SIDE,R4-CONDOMINIUM,13,1912.0,19597,496980,214195.0,282785,2129002.0,2012,1,MANHATTAN
1-00273-7502,30 RUTGERS STREET,LOWER EAST SIDE,R4-CONDOMINIUM,10,2005.0,7576,273494,79321.0,194173,1347500.0,2012,1,MANHATTAN
1-00274-7501,48 MARKET STREET,LOWER EAST SIDE,R4-CONDOMINIUM,26,1990.0,27046,859251,282631.0,576620,2971099.0,2012,1,MANHATTAN
